Supplier Name,MPN,EAN,Product name,Brand,Supplier stock,Supplier Cost
Navy blue,SL014-U100O,4066857001788,kabelmeister Outdoor Steckdosenleiste 4-fach IP54/IP20 10m,Kabelmeister,2,42.89
Navy blue,21L70011GE,197530521591,"Lenovo ThinkPad L16 AMD G1 16""   R5-7535U  32/1TB  WUXGA W11P",Lenovo,19,1035.72
Navy blue,58399201402,4008496330904,Varta Akku RECHARGE Phone    AA  HR6  1600mAh           2St.,Varta,19,3.95
Navy blue,CQ4012S,4052792032246,"Logilink Patchkabel mit Cat7-Rohk. Primel. S/FTP grau 0,25m",LogiLink,37,0.99
Navy blue,ELP650IEC,743172437334,Eaton USV ELP650IEC    650VA/400W USB     Ellipse PRO IEC,Eaton,6,153.03
Navy blue,62868,4043619628681,DELOCK USB-HUB 4-Port USB3.0 Tischeinbau,Delock,38,14.44
Navy blue,SP008GBUF2U02V1K,4712702646405,USB-Stick   8GB Silicon Power USB2.0 U02 Plastic Black,Silicon Power,1,2.95
Navy blue,ICA-LCD-2900WH,8054529023875,"Techly Wandhalterung LCD TV LED 19""-37"" mit neigung weiß",Techly,12,10.44
Navy blue,ICOC-HDMI2-4-060,8054529025930,Techly HDMI Kabel 2.0 High Speed with Ethernet schwarz 6m,Techly,33,11.62
Navy blue,CV0113,4052792049503,"Logilink 4K DisplayPort Anschlusskabel, 15 m",LogiLink,8,40.05
Navy blue,BNESRMR,8717399993692,BakkerElkhuizen Maus Handshake rechtshänder retail,Bakker Elkuizen,22,49.42
Navy blue,90YV0JCB-M0NA00,4711387733844,VGA Asus GeForce® RTX 4060 8GB DUAL EVO OC White,Asus,15,292.98
Navy blue,ICA-PLB-114L,8051128106626,"Techly Wandhalterung Ultra Slim für LCD/LED TV 40-65"" schwar",Techly,1,10.4
Navy blue,1506996,4007123652853,Brennenstuhl Überspannungsschutzadapter  13.500A anthrazit,Brennenstuhl,14,6.83
Navy blue,GP-P550SS,4719331554187,Power Supply|GIGABYTE|550 Watts|Efficiency 80 PLUS SILVER|PFC Active|MTBF 100000 hours|GP-P550SS,Gigabyte,50,37.04
Navy blue,50039555,4008110295176,Herlitz Schulranzen Loop Plus Bloomy Horse,Herlitz,49,38.21
Navy blue,50037681,4008110284361,Herlitz Schulranzen UltraLight Plus Flower Owl,Herlitz,37,46.35
Navy blue,A620MH12,4719331855512,Mainboard|GIGABYTE|AMD A620|SAM5|Micro-ATX|Memory DDR5|Memory slots 2|1xPCI-Express 3.0 16x|1xPCI-Express 4.0 16x|1xM.2|1xHDMI|1xDisplayPort|4xUSB 2.0|2xUSB 3.2|1xPS/2|1xRJ45|3xAudio port|A620MH1.2,Gigabyte,22,73.79
Navy blue,90LM055J-B02170,4711081874997,ASUS Business VA27ECPSN 68.47cm (16:9) FHD HDMI DP,Asus,14,236.33
Navy blue,XBUDS NC-XE28_WHITE,4894947019210,Infinix XBuds NC XE28 White,INFINIX,15,11.88
Navy blue,XBUDS GT3-XE30_BLACK,4894947024177,Infinix XBuds GT3 XE30 Black,INFINIX,15,11.34
Navy blue,XBUDS 3 LOOP XEOE01_BLACK,4894947029585,Infinix XBuds 3 loop XEOE01 Black,INFINIX,15,14.04
Navy blue,XBUDS 2 -XE29_WHITE,4894947020872,Infinix XBuds 2 XE29 White,INFINIX,15,10.26
Navy blue,SP020TBPHD62SS3B,4713436133995,Silicon Power 2TB USB3.2 A62 Game Drive 6.3cm (2.5) Bl/Bl,Silicon Power,2,70.74
Navy blue,63D7UAT3EU,196801934177,"Lenovo ThinkVision T24mv-30 (23,8"") FHD  HDMI/DP/USB-C/DOC",Lenovo,95,240.84
Navy blue,920-009167,5099206085855,Logitech Wireless Keyboard K860 black retail,Logitech,178,75.21
Navy blue,960-001034,5099206059030,Logitech ConferenceCam Connect black/silver,Logitech,34,234.76
Navy blue,606745,4012700606747,"Pelikan Kinderknete Creaplast 10 Farben im roten Etui, 240g",Pelikan Büro,2,3.67
Navy blue,SP001TBUF3S60VPB,4713436157526,Silicon Power Portable-Stick 1TB USB 3.2 SSD MS60 Black,Silicon Power,2,76.99
Navy blue,K40017F7,3112539996321,"Freecolor Toner Canon IR-C2380I,0453B002,Cyan 14000 Seiten",Freecolor,3,30.99
Navy blue,K40018F7,3112539996338,Freecolor Toner Canon IR-C2380I 0454B002 Cyan 14000 Seiten,Freecolor,3,30.99
Navy blue,9599,4040849095993,goobay Strålende lyspære 2W 2700K Varmt hvidt lys,Goobay,38,0.86
Navy blue,X22EB011E0100,4710739593747,"AG neovo X-22E    55,9cm 16:9   black",Neovo,3,619.08
Navy blue,699995TS,4049759097660,"EFB 19"" 1HE Kabelführungspanel, 4 Bügel, Stahl, schwarz",EFB,6,10.64
Navy blue,6999913S,4049759172046,EFB Kabelführungsbügel 80x80mm mit versetzter Montageplatte,EFB,13,2.95
