Supplier Name,Product name,EAN,Supplier Cost,Supplier stock
US Game Distribution,PS5 Dragon Ball Z Kakarot,,18.00,85.00
US Game Distribution,PS5 DualSense™ Wireless Controller  ..ASTRO BOT Limited Edition,,155.00,260.00
US Game Distribution,PS5 Dualsense Wireless Controller -Starlight Blue (US Version),711719546771- 711719546597,53.00,156.00
US Game Distribution,PS5 DualSense Wireless Controller - Cobalt Blue,711719572688,56.00,500+
US Game Distribution,PS5 DualSense Wireless Controller- CHROMA PEARL,711719546931,56.00,500+
US Game Distribution,PS5 Dualsense Wireless Controller -Cosmic RED (US Version),711719546580,53.00,500+
US Game Distribution,PS5 DualSense Edge Wireless Controller,711719560364,160.00,201.00
US Game Distribution,PS5 DualSense® Wireless controller – Fortnite® Limited Edition,,76.00,308.00
US Game Distribution,PS5 Dualsense Wireless Controller -Midnight Black (US Version),711719574309,53.00,500+
US Game Distribution,PS5 Dualsense Wireless Controller -Galactic Purple (US Version),711719546610,53.00,500+
US Game Distribution,PS5 DualSense™ Wireless Controller – 30th Anniversary Limited Edition,,155.00,143.00
US Game Distribution,PS5 DualSense Wireless Controller - Sterling Silver,711719572701,56.00,500+
US Game Distribution,PS5 DualSense™ Wireless Controller – Chroma Teal,711719546603,56.00,500+
US Game Distribution,PS5 DualSense Wireless Controller - Volcanic Red,711719572695,56.00,500+
US Game Distribution,PS5 DualSense Wireless Controller - White (US Version),711719574293,53.00,500+
US Game Distribution,PS5 DualSense Wireless Controller THE LAST OF US Limited,711719399506,110.00,49.00
US Game Distribution,PS5 DualSense Wireless Controller- CHROMA INDIGO,,56.00,500+
US Game Distribution,PS5 FUNKO FUSION,811949037701,39.00,146.00
US Game Distribution,PS5 GRIME,,27.00,196.00
US Game Distribution,PS5 Gundam Breaker 4 LAUNCH EDITION,722674130165,40.00,221.00
US Game Distribution,PS5 PlayStation Pulse Elite Wireless Headset - Midnight Black,,109.00,500+
US Game Distribution,PS5 The Legend of Tianding (Multi-Language),,26.00,27.00
US Game Distribution,PS5 PlayStation 5 Portal Remote Player,711719579779,191.00,59.00
US Game Distribution,PS5 PlayStation 5 PULSE Explore Wireless Earbuds..,,157.00,130.00
US Game Distribution,Microsoft Surface 3 Type Cover,,28.00,20.00
US Game Distribution,SW Nintendo Switch AC ADAPTER  BULK,BULK ITEM,13.00,500+
US Game Distribution,SW ACE ANGLER NINTENDO SWITCH VERSION,8885011014565,27.00,69.00
US Game Distribution,SW ACE ANGLER: FISHING SPIRITS  USA**,8885011016989,27.00,197.00
US Game Distribution,SW AKIBA TRIP HELLBOUND & DEBRIEFED,4570005940619,35.00,114.00
US Game Distribution,SW Animal Crossing: New Horizons USA Version,045496596439,40.50,276.00
US Game Distribution,SW Animal Crossing: New Horizons UAE (IMPORT),045496596439,37.50,500+
US Game Distribution,SW APSULOV: END OF GODS USA**,0794712742456,31.00,47.00
US Game Distribution,SW ARMS - Nintendo Switch (by Nintendo) IMPORT  UAE,045496590529,37.50,101.00
US Game Distribution,SW ASTRAL CHAIN IMPORT UAE,045496596569,37.50,273.00
US Game Distribution,SW ATELIER SOPHIE 2,4710782158610,35.00,33.00
US Game Distribution,SW Avicii Invector Encore Edition EU Version,,26.00,35.00
US Game Distribution,SW BANG-ON BALLS:CHRONICLES  USA**,0754590781664,26.00,22.00
US Game Distribution,SW BAYONETA  2,045496591861,37.50,229.00
US Game Distribution,SW BAYONETTA,,25.00,191.00
US Game Distribution,SW Beautiful Desolation,,31.00,37.00
US Game Distribution,SW CAPCOM BELT ACTION COLLECTION,,26.00,51.00
US Game Distribution,SW CHRONO CROSS: THE RADICAL DREAMERS EDITION Standard - Nintendo Switch   USA,0794712742425,31.00,108.00
US Game Distribution,SW Cuphead - Nintendo Switch,,29.00,20.00
US Game Distribution,SW Dark Souls:  Remastered - Nintendo Switch UAE (IMPORT),,31.00,231.00
US Game Distribution,SW DC Super Hero Girls Teen Power IMPORT UAE,,39.00,126.00
US Game Distribution,SW Deadly Premonition 2 - Nintendo Switch UAE (IMPORT),045496593049,30.00,500+
US Game Distribution,SW Detective Pikachu Returns - Nintendo Switch (Imported) UAE,045496598860,37.50,500+
US Game Distribution,SW Disney Illusion Island IMPORT UAE,045496599232,27.50,500+
US Game Distribution,SW DONKEY KONG COUNTRY RETURNS HD  UAE (IMPORT),,37.50,500+
US Game Distribution,SW Donkey Kong Country: Tropical Freeze,045496592660,38.50,500+
US Game Distribution,SW Donkey Kong Country: Tropical Freeze IMPORT UAE,,37.50,169.00
US Game Distribution,SW Donkey Kong Country Returns HD -   USA,,40.50,374.00
US Game Distribution,SW DRAGON QUEST BUILDERS 2,,36.50,12.00
US Game Distribution,SW DUNGEON ENCOUNTERS NINTENDO SWITCH,,34.00,51.00
US Game Distribution,SW Etrian Odyssey Origins Collection,,41.50,22.00
US Game Distribution,SW FINAL FANTASY IX,0794712144212,32.00,95.00
US Game Distribution,SW Final Fantasy I-VI Pixel Remaster Collection,8885011017559,50.00,418.00
US Game Distribution,SW Fire Emblem: Three Houses UAE (IMPORT),,37.50,45.00
US Game Distribution,SW FIRE EMBLEM WARRIORS THREE HOPES,045496597924,39.00,169.00
US Game Distribution,SW Fitness Boxing 3 UAE (IMPORT),,33.50,88.00
US Game Distribution,SW UNTITLED GOOSE GAME,811949032621,17.00,188.00
US Game Distribution,SW GRIME *,0754590781145,30.00,181.00
US Game Distribution,SW GUNDAM BATTLE ALLIANCE USA Version,8885011016828,48.00,19.00
US Game Distribution,SW Gundam Breaker 4 LAUNCH EDITION USA Version,722674840699,40.00,223.00
US Game Distribution,SW HORI Nintendo Switch Battle Pad (Zelda) GameCube Style Controller - Nintendo Switch,0873124007169,26.50,500+
US Game Distribution,SW HYRULE WARRIORS DEFINITIVE EDITION - NINTENDO SWITCH (UAE),,38.00,235.00
US Game Distribution,SW I AM SETSUNA,4988601009706,39.00,33.00
US Game Distribution,SW Nintendo Switch JOY-CON Blue / Neon Yellow (Japanese Version),,55.00,418.00
US Game Distribution,SW Nintendo Switch JOY-CON Neon Green / Neon Pink  (Japanese Version),,55.00,257.00
US Game Distribution,SW Nintendo Switch JOY-CON Neon Red / Neon Blue  (Japanese Version),,55.00,209.00
US Game Distribution,SW Nintendo Switch JOY-CON Pastel Pink / Pastel Yellow  (Japanese Version),,55.00,295.00
US Game Distribution,SW Nintendo Switch JOY-CON Purple / Orange  (Japanese Version),,55.00,141.00
US Game Distribution,SW Nintendo Switch JOY-CON Pair-Pastel Pink  (Japanese Version),,55.00,130.00
US Game Distribution,SW Nintendo Switch JOY-CON Pastel Purple / Pastel Green  (Japanese Version),,55.00,232.00
US Game Distribution,SW Nintendo Switch JOY-CON Pair-Pastel Pink,,61.00,284.00
US Game Distribution,SW Nintendo Switch JOY-CON Gray White Box,,50.00,300.00
US Game Distribution,SW Nintendo Switch JOY-CON CHARGING GRIP GRAY,873124006056,28.50,436.00
US Game Distribution,SW Super Mario Party with Joy-Con Pastel Purple Green UAE IMP,,78.00,74.00
US Game Distribution,SW Nintendo Switch JOY-CON Green / Pink White Box,,50.00,200.00
US Game Distribution,SW Nintendo Switch JOY-CON Pastel Pink / Pastel Yellow,045496431686,61.00,18.00
US Game Distribution,SW Nintendo Switch JOY-CON NEON RED & BLUE ( L&R ),045496430566,61.00,174.00
US Game Distribution,SW Nintendo Switch JOY-CON Red / Blue White Box,,50.00,300.00
US Game Distribution,SW Kemco RPG Selection VOL 6,,27.00,227.00
US Game Distribution,SW KIRBY STAR ALLIES USA Version,045496591922,40.50,168.00
US Game Distribution,SW Kirby and the Forgotten Land,,38.50,108.00
US Game Distribution,SW Kirby’s Return to Dream Land™ Deluxe - Nintendo Switch USA Version,,40.50,152.00
US Game Distribution,SW Kirby and the Forgotten Land UAE,,37.50,103.00
US Game Distribution,SW Kirby’s Return to Dream Land™ Deluxe - Nintendo Switch IMPORT UAE,,37.50,500+
US Game Distribution,SW The Legend of Tianding (Multi-Language)(by Nintendo for Nintendo Switch),0794712742364,26.00,74.00
US Game Distribution,SW LIVE A LIVE,045496598259,37.00,22.00
US Game Distribution,SW Luigi's Mansion 2 HD.. IMPORT,,37.50,415.00
US Game Distribution,SW Luigi's Mansion 2 HD USA,045496904807,40.50,359.00
US Game Distribution,SW LUIGI'S MANSION 3 USA Version,045496596408,40.50,205.00
US Game Distribution,SW LUIGI'S  MANSION 3 IMPORT,,37.50,339.00
US Game Distribution,SW SUPER MARIO MAKER 2 USA Version,045496596484,40.50,500+
US Game Distribution,SW MARIO KART 8 DELUXE UAE IMPORT,045496590475,37.50,500+
US Game Distribution,SW Mario Kart 8 Deluxe   USA,045496590475,40.50,500+
US Game Distribution,SW MARIO STRIKERS BATTLE LEAGUE USA Version,,40.50,81.00
US Game Distribution,SW MARIO & LUIGI BROTHERSHIP UAE (IMPORT),4902370552485,37.50,500+
US Game Distribution,Mario Kart 8 Deluxe Bundle Booster Course Pass 1-6 DLC - Nintendo Switch (MDE),,53.00,190.00
US Game Distribution,SW SUPER MARIO PARTY UAE,,37.50,149.00
US Game Distribution,SW Mario Party Superstars  USA,045496597863,40.50,500+
US Game Distribution,SW Mario Party Superstars (Imported) UAE,045496597863,37.50,139.00
US Game Distribution,Mario Kart 8 Deluxe Bundle Booster Course Pass 1-5 DLC - Nintendo Switch (MDE),3307216243854,52.00,210.00
US Game Distribution,SW Mario Vs. Donkey Kong™ - US Version,045496599720,40.50,501.00
US Game Distribution,SW Mario Vs. Donkey Kong™ - UAE IMP,4902370551990,36.00,326.00
US Game Distribution,SW METROID DREAD IMPORT UAE,,37.50,186.00
US Game Distribution,SW Metroid Prime Remastered UAE (IMPORT),045496598228,31.00,142.00
US Game Distribution,SW MIITOPIA (by Nintendo for Nintendo Switch) UAE (IMPORT),045496597610,34.50,50.00
US Game Distribution,SW MLB® The Show™ 25,884095221096,48.00,119.00
US Game Distribution,SW MONSTER HUNTER STORIES 2 NINTENDO SWITCH,,18.00,26.00
US Game Distribution,SW NEOGO POCKET COLOR SELECTION VOL. 1,4964808151325,34.00,49.00
US Game Distribution,SW NEOGEO POCKET COLOR SELECTION VOL. 2,4964808151837,31.00,33.00
US Game Distribution,SW New  Super Mario Bros Delux USA Version,045496592691,40.50,281.00
US Game Distribution,SW New  Super Mario Bros Deluxe IMPORT UAE,,37.50,230.00
US Game Distribution,SW Nintendo Switch™ – Gray  V2  (Japanese Version),,217.00,300.00
US Game Distribution,SW Nintendo Labo - Robot Kit,4902370538762,12.00,500+
US Game Distribution,Nintendo Switch Lite Animal Crossing Isabelle Aloha (UAE Imported),,195.00,32.00
US Game Distribution,Nintendo Switch Lite Timmy and Tommy Aloha Edition (UAE Import),,195.00,58.00
US Game Distribution,SW Nintendo Switch OLED NEON (Jappaness Version),045496883409,255.00,192.00
US Game Distribution,SW Nintendo Switch™ – OLED Model: White (Japanese Version),,250.00,500+
US Game Distribution,SW No More Heroes III UAE (IMPORT),,30.00,94.00
US Game Distribution,SW OCTOPATH TRAVELER  UAE IMPORT,045496592134,37.50,500+
US Game Distribution,SW Paper Mario: The Thousand-Year Door..USA,045496904838,40.50,31.00
US Game Distribution,SW Paper Mario: The Origami King UAE (IMPORT),045496596767,37.50,206.00
US Game Distribution,SW Switch Pikmin 1 + 2 USA Version,,40.50,305.00
US Game Distribution,SW Switch Pikmin 1 + 2 UAE (IMPORT),4902370551730,33.00,500+
US Game Distribution,SW PIKMIN 4 USA Version,,40.50,102.00
US Game Distribution,SW PIKMIN 4 UAE (IMPORT),,37.50,500+
US Game Distribution,SW New Pokémon Snap UAE (IMPORT),,37.50,116.00
US Game Distribution,SW Pokémon Scarlet & Pokémon Violet Double Pack Standard - Nintendo Switch  IMPORT UAE,045496599058,75.00,159.00
US Game Distribution,SW POKEMON MYSTERY DUNGEON: RESCUE TEAM DX UAE(IMPORT),045496597054,37.50,453.00
US Game Distribution,"SW Pokemon:  Let's Go, Eevee! (by Nintendo for Nintendo Switch)  UAE (IMPORT)",045496593971,37.50,500+
US Game Distribution,SW New Pokémon Snap Japanese,,25.00,18.00
US Game Distribution,SW POKEMON LEGENDS: ARCEUS USA Version,045496598044,40.50,95.00
US Game Distribution,SW POKEMON BRILLIANT DIAMOND UAE (IMPORT),045496597801,37.50,21.00
US Game Distribution,SW POKEMON GO PLUS Japanese,,43.00,16.00
US Game Distribution,SW Pokémon Brilliant Diamond & Pokemon Shining Pearl Double Pack - Nintendo Switch,,80.00,60.00
US Game Distribution,SW POKEMON LET'S GO PIKACHU USA Version,045496593940,40.50,132.00
US Game Distribution,"SW Pokemon: Let's Go, Pikachu  UAE IMPORT",045496593940,37.50,500+
US Game Distribution,SW Pokemon Sword USA Version,045496596583,40.50,185.00
US Game Distribution,SW Pokemon Scarlet USA Version,045496598211,40.50,237.00
US Game Distribution,SW Pokemon Sword UAE IMPORT,,37.50,144.00
US Game Distribution,SW Pokémon Violet - Nintendo Switch UAE IMPORT,045496598969,37.50,161.00
US Game Distribution,SW POKKEN TOURNAMENT DX UAE (IMPORT),045496591137,37.50,129.00
US Game Distribution,SW PRINCES PEACH SHOWTIME ! IMPORT,,37.50,500+
US Game Distribution,SW Nintendo Switch PRO CONTROLLER Black,045496430528,50.00,500+
US Game Distribution,SW Nintendo Switch Pro Controller - Xenoblade Chronicles 2 Edition (by Nintendo),045496591847,69.00,461.00
US Game Distribution,SW Nintendo Switch Pro Controller Splatoon 2 Edition,045496590642,61.00,500+
US Game Distribution,SW Nintendo Switch Pro Controller Super Smash Bros.  Ultimate Edition,045496594428,78.00,300.00
US Game Distribution,SW Nintendo Switch™ Pro Controller Splatoon™ 3 Edition,045496883195,68.00,347.00
US Game Distribution,SW Nintendo Switch Pro Controller - The Legend of Zelda: Tears of the Kingdom Edition,045496883614,79.00,184.00
US Game Distribution,SW Nintendo Switch Pro Controller - The Legend of Zelda: Tears of the Kingdom Edition IMPORT UAE,,79.00,316.00
US Game Distribution,SW JAPANESE RAIL SIM: JOURNEY TO KYOTO NINTENDO SWITCH,,38.00,13.00
US Game Distribution,SW Rico London,07944712144281,31.00,90.00
US Game Distribution,SW SAMURAI WARRIORS 5 NINTENDO SWITCH,,35.00,51.00
US Game Distribution,SW SD GUNDAM G GENERATION CROSS RAY PLATINUM,8885011014954,47.00,88.00
US Game Distribution,SW NINTENDO ELDER SCROLLS V: SKYRIM UAE (IMPORT),,37.50,117.00
US Game Distribution,SW SUPER SMASH BROTHER USA,045496592998,40.50,500+
US Game Distribution,SW SUPER SMASH BROTHER UAE IMPORT,045496592998,37.50,168.00
US Game Distribution,"SW Snipperclips Plus: Cut it out, Together! - Nintendo Switch  UAE IMPORT",045496591953,24.00,87.00
US Game Distribution,SW SPLATOON 3 ( Import ) UAE,045496598167,37.50,500+
US Game Distribution,SW SPLATOON 2,045496590505,37.50,142.00
US Game Distribution,SW SPORT UAE (Import),,36.00,500+
US Game Distribution,SW SPORTS,045496598075,35.00,21.00
US Game Distribution,SW Super Mario 3D World + Bowser's Fury - US Version,,38.00,51.00
US Game Distribution,SW Super Mario 3D World + Bowser’s Fury - Nintendo Switch (Import) UAE,,37.50,87.00
US Game Distribution,SW Super Mario Odyssey USA,045496590741,40.50,500+
US Game Distribution,SW Super Mario Odyysey (Import) UAE,045496590741,37.50,141.00
US Game Distribution,SW Super Mario Bros.™ Wonder - Nintendo Switch (US Version),045496599577,40.50,486.00
US Game Distribution,SW Super Mario Bros.™ Wonder - Nintendo Switch (IMPORTED),4902370551754,37.50,500+
US Game Distribution,SW Super Mario Party Jamboree UAE (IMPORT),,37.50,500+
US Game Distribution,SW Super Mario Party Jamboree USA Version,,40.50,178.00
US Game Distribution,SW Super Mario RPG - Nintendo Switch USA Version,045496599638,40.50,500+
US Game Distribution,SW SUPER ROBOT WAR X USA Version,8885011014190,47.00,118.00
US Game Distribution,SW TAIKO NO TATSUJIN: RHYTHM FESTIVAL,8885011016965,18.00,100.00
US Game Distribution,SW Ultra Kaiju Monster Rancher -Nintendo Switch USA Version,,38.00,20.00
US Game Distribution,SW WARIOWARE GET IT TOGETHER ! UAE (IMPORT),045496597511,36.00,101.00
US Game Distribution,SW WING OF DARKNESS,4570005940336,26.00,13.00
US Game Distribution,SW Xenoblade Chronicle 3 IMPORT UAE,045496598280,37.50,16.00
US Game Distribution,SW Xenoblade Chronicles -Definitive ED  UAE IMPORT,045496596958,37.50,38.00
US Game Distribution,SW Yoshi's Crafted World USA,045496593919,40.50,62.00
US Game Distribution,SW THE LEGEND OF ZELDA ECHOES OF WISDOM UAE (IMPORT),4902370552423,37.50,500+
US Game Distribution,SW ZELDA BREATH OF THE WILD  UAE (IMPORT),,37.50,16.00
US Game Distribution,SW THE LEGEND OF ZELDA LINKS AWAKENING  UAE (IMPORT),,37.50,74.00
US Game Distribution,SW The Legend of Zelda: Tears of the Kingdom - Nintendo Switch,,42.00,137.00
US Game Distribution,SW The Legend of Zelda: Tears of the Kingdom - Nintendo Switch  UAE (IMPORT),,39.00,500+
US Game Distribution,NEW - BULK - Joy-Con Grip    NEW-9742-KUE9,,2.75,33.00
US Game Distribution,SW OLED WHITE SYSTEM THE FORTH,,2.75,17.00
US Game Distribution,PlayStation DualSense Wireless PC Renewed Video Game Controller--GALACTIC PURPLE,,1.50,83.00
US Game Distribution,PlayStation DualSense Wireless Controller  FOR PLAYSTATION 5 --- MIDNIGHT BLACK,,1.50,84.00
US Game Distribution,PlayStation DualSense Wireless PC Renewed Video Game Controller ---WHITE..MP-J7SU-07QD,,1.50,76.00
US Game Distribution,PlayStation DualSense Wireless PC Renewed Video Game Controller--STARLIGHT BLUE,,1.50,80.00
US Game Distribution,NEW BROWN BOX - Switch V2 Tablet ONLY  NEW-V0TZ-KDQ8,,2.75,23.00
US Game Distribution,XBOX LIVE 12 MONTH CARDS NEW 59.99,Card,51.50,124.00
US Game Distribution,XBO CITADEL FORGED WITH FIRE,884095196066,10.50,184.00
US Game Distribution,XBOX ONE ELITE SERIES 2 WIRELESS CONTROLLER,889842196344,134.00,500+
US Game Distribution,XBOX ONE ELITE SERIES 1 WIRELESS CONTROLLER WHITE BULK,,100.00,18.00
US Game Distribution,Xbox one FIFA 2022 Series X,,13.00,47.00
US Game Distribution,XBO MADDEN & FIFA 19,014633749922,6.00,19.00
US Game Distribution,XBO PowerA Chat Headset XBOX ONE,,4.00,184.00
US Game Distribution,XBO Xbox One S Vertical Stand,889842102369,6.75,500+
US Game Distribution,Xbox Core Controller - Carbon Black,,42.00,90.00
US Game Distribution,Xbox Core Controller - Robot White,889842611557 / 889842654714,42.00,500+
US Game Distribution,Xbox Wireless Controller Hyperspace (Bulk),,60.00,146.00
US Game Distribution,"Xbox Wireless Controller – Electric Volt for Xbox Series X|S, Xbox One",,42.00,48.00
US Game Distribution,Xbox Core Wireless Controller Velocity Green,,42.00,96.00
US Game Distribution,Xbox Wireless Controller - Playerunknown's Battlegrounds Limited Edition BULK,,62.00,130.00
US Game Distribution,Xbox Wireless Controller: Starfield Limited Edition,,85.00,82.00
US Game Distribution,Xbox Core Controller -  Pulse Red,,42.00,72.00
